publisher,series title,issue title,cover image,description,writers,artists,inkers,colorists,pages,release date
DC,Batman (2016-),Batman (2016-) #40,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/621357/621357._SX360_QL80_TTD_.jpg,"“SUPERFRIENDS” part four! Since the beginning, the friendship between Batman and Wonder Woman has stood at the heart of the DC Universe. Now that friendship is coming apart, and as it does, the universe itself begins to crumble. The conclusion of Batman’s team-up with Wonder Woman.",Tom King,Joelle Jones,Joelle Jones,Jordie Bellaire,24 Pages,February  7 2018
Marvel,X-Men Red (2018-),X-Men Red (2018-) #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/609190/609190._SX360_QL80_TTD_.jpg,"THE FIRST SENSATIONAL ARC OF AN ALL-NEW TEAM OF X-MEN STARTS HERE! JEAN GREY is back! Returned to a world she doesnt recognize, the First Lady of the X-MEN gathers an unlikely team — NIGHTCRAWLER, NAMOR and LAURA KINNEY (A.K.A. ALL-NEW WOLVERINE) — to face an evil that threatens to tear down XAVIERs dream by any means necessary!",Tom Taylor,Mahmud A. Asrar,,,32 Pages,February  7 2018
Dark Horse,Incognegro: Renaissance,Incognegro: Renaissance #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/613760/613760._SX360_QL80_TTD_.jpg,"After a black writer is found dead at a scandalous interracial party in 1920s New York, Harlems cub reporter Zane Pinchback is the only one determined to solve the murder. Zane must go incognegro for the first time--using his light appearance to pass as a white man--to find the true killer, in this prequel miniseries to the critically acclaimed Vertigo graphic novel, now available in a special new 10th Anniversary Edition.

With a cryptic manuscript as his only clue, and a mysterious and beautiful woman as the murders only witness, Zane finds himself on the hunt through the dark and dangerous streets of roaring twenties Harlem in search for justice.

A page-turning thriller of racial divide, Incognegro: Renaissance explores segregation, secrets, and self-image as our race-bending protagonist penetrates a world where he feels stranger than ever before.

* Mature readers.    

A talented writer of both fiction and creative non-fiction, Johnsons publications have established himself as an important new voice in the African-American tradition.-- Walter Mosley",Mat Johnson,Warren Pleece,,,27 Pages,February  7 2018
BOOM! - BOOM! Box,The Backstagers,The Backstagers Valentines Intermission #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/630073/630073._SX360_QL80_TTD_.jpg,"It’s Valentine’s Day at St. Genesius Prep and the Backstagers are back in (stage) blacks for some ROMANTIC adventures in the mysterious world behind the scenes!  Featuring bonus tales from a variety of special guests, including Brittney Williams, Caitlin Rose Boyle, and Katy Farina! It’s the “seasons of love” for your favorite backstage boys! (No, you can’t wear pink backstage. Or red. Or glitter. Or cherub wings, Sasha.)","Samantha Johns, James Tynion IV","Caitlin Rose Boyle, Katy Farina, Rian Sygh, Brittney Williams",,"Walter Baiamonte, Katy Farina, Rebecca Nalty",41 Pages,February  7 2018
IDW,Transformers vs. The Visionaries,Transformers vs. The Visionaries #2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/595871/595871._SX360_QL80_TTD_.jpg,"Virulina, leader of the Darkling Lords, has discovered that the Transformers are vulnerable to magic—and now shes using that weakness to try and gain control of Cybertron and wipe them out! Leoric and Ironhide team up to stop her, but quickly find themselves facing not only the Darkling Lords, but all of New Prysmos itself!",Magdalene Visaggio,Fico Ossio,,,37 Pages,February  7 2018
Image,Scales & Scoundrels,Scales & Scoundrels Vol. 1: Into The Dragons Maw,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/596290/596290._SX360_QL80_TTD_.jpg,"It’s hard to make an honest living in a land brimming with magic and mystery, and treasure hunter Luvander is tired of being a penniless adventurer. Ever in search of gold and glory, she sets off for a fabled dungeon, “the Dragon’s Maw,” an ancient labyrinth at the bottom of which slumber endless wealth…or certain doom! A loner by nature, Luvander is forced to team up with a group of scraggly adventurers, each hoping to find a treasure of their own in the forbidden tomb. There is Prince Aki, of the Scarlet Sands Empire, anxious for his first taste of adventure, yet blind to the consequences; his royal Shadow, Koro, whose very honor hangs in the balance of her prince’s quest; and Dorma Ironweed, a stocky young dwarf whose journey will take her deeper into the darkness than she ever dared to tread. What starts out as a road to riches becomes the first step on an epic journey to destiny, for Luvander holds a secret in her heart that will shatter the chains of fate and bring light to a world encroached upon by an ancient darkness. Writer SEBASTIAN GIRNER (SHIRTLESS BEAR-FIGHTER!) and artist GALAAD are proud to present SCALES & SCOUNDRELS, an exciting new fantasy adventure from Image Comics, for scoundrels of all ages! Collects SCALES & SCOUNDRELS #1-5",Sebastian Girner,Galaad,,,143 Pages,February  7 2018
Subversive comics,Super Robot Mayhem,Super Robot Mayhem #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629436/629436._SX360_QL80_TTD_.jpg,"Fall From Grace
Raiden Nakamura is an engineer on the research mining vessel Theseus on a mission to find resources in the Kuiper Belt. When he discovers the ruins of an ancient Super Robot (MAYHEM) buried deep into the rock of an asteroid, he unwittingly sets in motion a chain of events that attracts the attention of the Demon Imperial Alliance (DIA).",Jeremy Biggs,"Javier Bordon, Paul Nicholson",,"Jeremy Biggs, Yel Zamor",28 Pages,Super Robot Mayhem #1 - Comics by comiXology
Marvel,Star Wars: Doctor Aphra (2016-),Star Wars: Doctor Aphra Vol. 2: Doctor Aphra and the Enormous Profit,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/609296/609296._SX360_QL80_TTD_.jpg,"Collects Star Wars: Doctor Aphra #9-13, Annual #1.

Aphras back with a brand-new plan thats guaranteed to pay! Theres just one teensy problem... it involves surrounding herself with some of the galaxys biggest baddies. And they dont like the not-so-good doctors tricks! Her mission to make quick credits by auctioning off an ancient Jedi artifact will start well... and end badly. And thats just when a dark figure from Aphras past decides to make an appearance! Plus, a solo focus on Aphras Wookiee shadow, Black Krrsantan! Find out why this beastly bounty hunter is as frightening as they say... and then some!",Kieron Gillen,Kev Walker,,,144 Pages,February  7 2018
Titan,Robotech,Robotech Vol. 1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/565320/565320._SX360_QL80_TTD_.jpg,"Harmony Golds cult 80s TV series, Robotech, returns for all-new adventures. Featuring classic characters Rick, Lisa, Minmei, Roy, Claudia and Gloval, this new comic series will delight original fans and newcomers alike.",Brian Wood,Marco Turini,,Marco Lesko,112 Pages,February  7 2018
Image,Twisted Romance,Twisted Romance #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/617735/617735._SX360_QL80_TTD_.jpg,"Critically acclaimed writer ALEX de CAMPI teams up with some of comics hottest artists to create tales of love gone wrong, right, and everywhere in between. ISSUE ONE: “OLD FLAMES”In New York City in 1978, there are thousands of ways for people to get together. Theres only one agency dedicated to tearing them apart: Heartbreak Incorporated. But who is the handsome seducer who runs the agency, and what is the secret hes hiding? Drawn by KATIE SKELLY(My Pretty Vampire). Backup comics story by SARAH HORROCKS (Goro, The Leopard) and prose story by MAGEN CUBED (Crashers).","Magen Cubed, Alex de Campi, Sarah Horrocks","Magen Cubed, Sarah Horrocks, Katie Skelly",,,50 Pages,February  7 2018
